	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
1282	3780	359	Terpenoids	1.0	Sesquiterpenoids	1.0	Bisabolane sesquiterpenoids	0.6666666666666666	2.0	0.49937418	ISDB	http://www.wikidata.org/entity/Q104957899	CGMRJZDDIDETAH-FJEABXHCSA-N	InChI=1S/C19H30O3/c1-14(2)17(20)21-13-15(3)7-6-10-19(5)16-8-11-18(4,22-19)12-9-16/h7-8,11,14,16H,6,9-10,12-13H2,1-5H3/b15-7+/t16-,18+,19-/m0/s1	C/C(=C\CC[C@]1(C)O[C@]2(C)C=C[C@H]1CC2)COC(=O)C(C)C	C19H30O3		306.21949482	[(E)-5-[(1S,3S,4R)-1,3-dimethyl-2-oxabicyclo[2.2.2]oct-5-en-3-yl]-2-methylpent-2-enyl] 2-methylpropanoate	CGMRJZDDIDETAH	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids	http://www.wikidata.org/entity/Q28934733	Artemisia sieberi	324847.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Artemisia']	['Artemisia sieberi']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	7.497496604919434	1
1286	3773	271	Fatty acids	1.0	Sesquiterpenoids	0.5	N-acyl amines	0.5	2.0	0.43200728	ISDB	http://www.wikidata.org/entity/Q27144673	HEUQYIQQCNOXOG-UHFFFAOYSA-N	InChI=1S/C13H25NO3/c1-2-3-4-5-6-7-8-9-10-12(15)14-11-13(16)17/h2-11H2,1H3,(H,14,15)(H,16,17)	CCCCCCCCCCC(=O)NCC(=O)O	C13H25NO3		243.18344366	N-Undecanoylglycine	HEUQYIQQCNOXOG	Fatty acids	Fatty amides	N-acyl amines	http://www.wikidata.org/entity/Q309852	Euglena gracilis	1073327.0	['Eukaryota']	['Unknown']	['Euglenida']	['Euglenophyceae']	['Unknown']	['Euglenaceae']	['Unknown']	['Euglena']	['Euglena gracilis']		['Eukaryota']									1	3	4.228029251098633	1
1288	3769	176	Fatty acids	0.7049180327868853	Diterpenoids	0.7377049180327869	Catechols with side chains	0.4262295081967213	111.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105309732	WOWWYGURCUCHJY-UHFFFAOYSA-N	InChI=1S/C23H36O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-18-22-19-17-20-23(24)21-22/h14-21,24H,2-13H2,1H3	CCCCCCCCCCCCCC=CC=Cc1cccc(O)c1	C23H36O	pos_1_minus1proton1magnesium	328.276615772	3-Heptadeca-1,3-dienylphenol	WOWWYGURCUCHJY	Polyketides	Aromatic polyketides	Catechols with side chains	http://www.wikidata.org/entity/Q15545369	Gluta usitata	3942367.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Gluta']	['Gluta usitata']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	3	7.5	1
1289	3768	64	Shikimates and Phenylpropanoids	0.85	Flavonoids	0.5	Plant xanthones	0.35	9.0	0.46031246	ISDB	http://www.wikidata.org/entity/Q105265528	TVSBSLGTNMNUBC-ZDBFMITKSA-N	InChI=1S/C27H30O15/c1-8-19(34)21(36)23(38)27(39-8)42-26-22(37)20(35)16(7-28)41-25(26)18-13(32)5-12(31)17-14(33)6-15(40-24(17)18)9-2-3-10(29)11(30)4-9/h2-6,8,16,19-23,25-32,34-38H,7H2,1H3/t8-,16+,19-,20+,21+,22-,23+,25-,26+,27-/m0/s1	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2c2c(O)cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc23)[C@H](O)[C@H](O)[C@H]1O	C27H30O15		594.15847026	Orientin 2''-O-rhamnoside	TVSBSLGTNMNUBC	Shikimates and Phenylpropanoids	Flavonoids	Flavones	http://www.wikidata.org/entity/Q5122903	Citrus japonica	370009.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Citrus']	['Citrus japonica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	2	7.841249942779541	1
1290	3766	18	Shikimates and Phenylpropanoids	0.7692307692307693	Flavonoids	0.7384615384615385	Proanthocyanins	0.5846153846153846	1.0	0.20898615	ISDB	http://www.wikidata.org/entity/Q105010020	GKIBFAJWPMKFPD-QKRVJUIFSA-N	InChI=1S/C38H42O18/c39-17-27-35(55-30(46)12-6-20-3-9-23(41)25(43)15-20)36(34(50)37(53-27)51-14-13-21-4-10-24(42)26(44)16-21)56-38-33(49)32(48)31(47)28(54-38)18-52-29(45)11-5-19-1-7-22(40)8-2-19/h1-12,15-16,27-28,31-44,47-50H,13-14,17-18H2/b11-5+,12-6+/t27-,28-,31-,32+,33-,34-,35-,36-,37-,38+/m1/s1	O=C(/C=C/c1ccc(O)cc1)OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O	C38H42O18		786.2371145039999	Digilanatoside B	GKIBFAJWPMKFPD	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q157838	Digitalis lanata	893248.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Plantaginaceae']	['Digitalideae']	['Digitalis']	['Digitalis lanata']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	1	5.335944652557373	1
1291	3764	-1							87.0	0.39981768	ISDB	http://www.wikidata.org/entity/Q72461280	IQTTZQQJJBEAIM-ZDUSSCGKSA-N	InChI=1S/C16H16O5/c1-9(17)21-16(2,3)13-8-11-12(19-13)6-4-10-5-7-14(18)20-15(10)11/h4-7,13H,8H2,1-3H3/t13-/m0/s1	CC(=O)OC(C)(C)[C@@H]1Cc2c(ccc3ccc(=O)oc23)O1	C16H16O5		288.09977361200004	Columbianetin acetate	IQTTZQQJJBEAIM	Shikimates and Phenylpropanoids	Coumarins	Furocoumarins	http://www.wikidata.org/entity/Q18074525	Murraya siamensis	332866.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Murraya']	['Murraya siamensis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	0	6.599270820617676	1
1293	3759	114	Shikimates and Phenylpropanoids	0.7647058823529411	Flavonoids	0.7352941176470589	Flavan-3-ols	0.5588235294117647	1.0	0.63404614	ISDB	http://www.wikidata.org/entity/Q415007	PFTAWBLQPZVEMU-DZGCQCFKSA-N	InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2	C15H14O6		290.07903816799995	Cianidanol	PFTAWBLQPZVEMU	Shikimates and Phenylpropanoids	Flavonoids	Flavan-3-ols	http://www.wikidata.org/entity/Q15224860	Pistacia weinmannifolia	1010714.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Pistacia']	['Pistacia weinmaniifolia']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	3	10.036184310913086	1
1302	3756	-1							3.0	0.58684474	ISDB	http://www.wikidata.org/entity/Q105213553	PQZMZRVBJLKEFN-MEWNVRQFSA-N	InChI=1S/C24H32O3/c1-15(2)18-11-13-23(3)19-12-14-24(23,4)22(21(18)19)27-20(26)10-7-16-5-8-17(25)9-6-16/h5-10,15,18-19,21-22,25H,11-14H2,1-4H3/b10-7+/t18-,19-,21-,22+,23+,24+/m0/s1	CC(C)[C@@H]1CC[C@]2(C)[C@H]3CC[C@]2(C)[C@H](OC(=O)/C=C/c2ccc(O)cc2)[C@@H]13	C24H32O3		368.235144884	[(1S,2R,5S,6S,7R,8S)-2,8-dimethyl-5-propan-2-yl-7-tricyclo[4.4.0.02,8]decanyl] (E)-3-(4-hydroxyphenyl)prop-2-enoate	PQZMZRVBJLKEFN	Terpenoids	Sesquiterpenoids	Daucane sesquiterpenoids	http://www.wikidata.org/entity/Q11144450	Pilea cavaleriei	5264297.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Urticaceae']	['Unknown']	['Pilea']	['Pilea cavaleriei']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	6.347378730773926	1
1303	3753	53	Terpenoids	0.5	Fatty esters	0.25	Lactones	0.16666666666666666	14.0	0.0	MS1_match	http://www.wikidata.org/entity/Q79739	YEJRWHAVMIAJKC-UHFFFAOYSA-N	InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2	O=C1CCCO1	C4H6O2	pos_1_1proton1acetonitrile	86.036779432	gamma-Butyrolactone	YEJRWHAVMIAJKC	Fatty acids	Fatty esters	Lactones	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	3	7.5	1
1304	3748	13	Fatty acids	0.2857142857142857	Glycerophospholipids	0.2857142857142857	Glycerophosphocholines	0.2857142857142857	1.0	0.30492815	ISDB	http://www.wikidata.org/entity/Q27160572	PDIGSOAOQOXRDU-WJPZTBRDSA-N	InChI=1S/C28H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h6-7,9-10,12-13,15-16,18-19,27,30H,5,8,11,14,17,20-26H2,1-4H3/b7-6-,10-9-,13-12-,16-15-,19-18-/t27-/m1/s1	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C	C28H48NO7P		541.316839506	LysoPC(20:5(5Z,8Z,11Z,14Z,17Z))	PDIGSOAOQOXRDU	Fatty acids	Glycerophospholipids	Glycerophosphocholines	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']									1	3	3.719712734222412	1
1305	3747	-1							2.0	0.26174214	ISDB	http://www.wikidata.org/entity/Q27155270	BUPDVJFRVYWYEV-PIVIZACJSA-N	InChI=1S/C27H32O13/c1-9-19(31)22(34)25(37)27(39-9)38-8-10-5-12-16(26-24(36)23(35)20(32)15(7-28)40-26)11-3-2-4-13(29)17(11)21(33)18(12)14(30)6-10/h2-6,9,15-16,19-20,22-32,34-37H,7-8H2,1H3/t9-,15+,16-,19-,20+,22+,23-,24+,25+,26-,27+/m0/s1	C[C@@H]1O[C@@H](OCc2cc(O)c3c(c2)[C@@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cccc(O)c2C3=O)[C@H](O)[C@H](O)[C@H]1O	C27H32O13		564.1842910839998	Aloinoside A	BUPDVJFRVYWYEV	Polyketides	Polycyclic aromatic polyketides	Anthraquinones and anthrones	http://www.wikidata.org/entity/Q80079	Aloe vera	62303.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asparagales']	['Asphodelaceae']	['Unknown']	['Aloe']	['Aloe vera']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.046968460083008	1
1309	3742	91	Terpenoids	1.0	Sesquiterpenoids	0.9565217391304348	Cadinane sesquiterpenoids	0.391304347826087	8.0	0.6472839	ISDB	http://www.wikidata.org/entity/Q115948461	OXBYVYGWWRTWMD-UHFFFAOYSA-N	InChI=1S/C15H22/c1-9-6-8-12-14(15(12,3)4)13-10(2)5-7-11(9)13/h6,8,10-14H,1,5,7H2,2-4H3	C=C1C=CC2C(C3C(C)CCC13)C2(C)C	C15H22		202.17215070400002	(-)-Dehydroaromadendrene	OXBYVYGWWRTWMD	Terpenoids	Sesquiterpenoids	Aromadendrane sesquiterpenoids	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	2	9.589136123657227	1
1317	3736	575	Alkaloids	1.0	Lysine alkaloids	1.0	Piperidine alkaloids	1.0	1.0	0.51844954	ISDB	http://www.wikidata.org/entity/Q27164772	MXXWOMGUGJBKIW-UHFFFAOYSA-N	InChI=1S/C17H19NO3/c19-17(18-10-4-1-5-11-18)7-3-2-6-14-8-9-15-16(12-14)21-13-20-15/h2-3,6-9,12H,1,4-5,10-11,13H2	O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1	C17H19NO3		285.13649346799997	Piperidine, 1-(5-(1,3-benzodioxol-5-yl)-1-oxo-2,4-pentadienyl)-	MXXWOMGUGJBKIW	Alkaloids	Lysine alkaloids	Piperidine alkaloids	http://www.wikidata.org/entity/Q3338042	Aglaia perviridis	353170.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Meliaceae']	['Unknown']	['Aglaia']	['Aglaia perviridis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	3	8.573798179626465	1
1319	3732	66	Terpenoids	0.6666666666666666	Meroterpenoids	0.5555555555555556	Merosesquiterpenoids	0.3333333333333333	3.0	0.21682431	ISDB	http://www.wikidata.org/entity/Q27276878	HJSZCMVJNUBOQM-JZFVXYNCSA-N	InChI=1S/C27H40O4/c1-15-13-18(28)22(30)17-14-27(31-23(15)17)16(2)7-8-20-25(5)11-10-21(29)24(3,4)19(25)9-12-26(20,27)6/h13,16,19-21,28-30H,7-12,14H2,1-6H3/t16-,19-,20+,21-,25-,26+,27-/m0/s1	Cc1cc(O)c(O)c2c1O[C@@]1(C2)[C@@H](C)CC[C@@H]2[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]21C	C27H40O4		428.2926597599998	Stypotriol	HJSZCMVJNUBOQM	Terpenoids	Meroterpenoids	Spriromeroterpenoids	http://www.wikidata.org/entity/Q29904666	Stypopodium flabelliforme	250717.0	['Eukaryota']	['Unknown']	['Unknown']	['Phaeophyceae']	['Dictyotales']	['Dictyotaceae']	['Unknown']	['Stypopodium']	['Stypopodium flabelliforme']		['Eukaryota']									1	2	2.8672971725463867	1
1321	3731	-1							31.0	0.45383248	ISDB	http://www.wikidata.org/entity/Q105328742	XITNBSAHLJLWEN-LBPRGKRZSA-N	InChI=1S/C17H24O4/c1-12-8-6-4-3-5-7-9-13-10-14(20-2)11-15(18)16(13)17(19)21-12/h10-12,18H,3-9H2,1-2H3/t12-/m0/s1	COc1cc(O)c2c(c1)CCCCCCC[C@H](C)OC2=O	C17H24O4		292.167459248	(4S)-16-hydroxy-14-methoxy-4-methyl-3-oxabicyclo[10.4.0]hexadeca-1(12),13,15-trien-2-one	XITNBSAHLJLWEN	Polyketides	Macrolides	Zearalenones	http://www.wikidata.org/entity/Q15477576	Ozoroa insignis	1083321.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Ozoroa']	['Ozoroa insignis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	0	7.8153300285339355	1
1322	3726	-1							258.0	0.6171792	ISDB	http://www.wikidata.org/entity/Q27138797	ARYHWGXGRJYLNK-HUUCEWRRSA-N	InChI=1S/C15H22O3/c1-9(2)10-4-5-15(3)12(6-10)11(8-16)13(17)7-14(15)18/h6,9,14,16,18H,4-5,7-8H2,1-3H3/t14-,15-/m1/s1	CC(C)C1=CC2=C(CO)C(=O)C[C@@H](O)[C@]2(C)CC1	C15H22O3		250.15689456400003	4,6-Diene-1beta,14-dihydroxyeudesma-3-one	ARYHWGXGRJYLNK	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q4692781	Aglaia foveolata	5516770.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Meliaceae']	['Unknown']	['Aglaia']	['Aglaia foveolata']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	0	7.468716621398926	1
1323	3725	412	Shikimates and Phenylpropanoids	1.0	Phenylpropanoids (C6-C3)	1.0	Cinnamic acids and derivatives	1.0	30.0	0.0	MS1_match	http://www.wikidata.org/entity/Q28917	PPBRXRYQALVLMV-UHFFFAOYSA-N	InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2	C=Cc1ccccc1	C8H8	pos_1_1proton1methanol	104.06260025600001	Styrene	PPBRXRYQALVLMV	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q794969	Spondias mombin	317612.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Spondias']	['Spondias mombin']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	3	7.5	1
1328	3722	629	Fatty acids	0.5	Fatty esters	0.5	Lactones	0.5	4.0	0.2944805	ISDB	http://www.wikidata.org/entity/Q110170768	MCOVUDBVHLCDBW-JNIPPHOLSA-N	InChI=1S/C14H22O4/c1-2-11(15)7-5-3-4-6-8-12(16)13-9-10-14(17)18-13/h3-4,6,8,11-13,15-16H,2,5,7,9-10H2,1H3/b4-3-,8-6+/t11-,12+,13-/m1/s1	CC[C@@H](O)CC/C=C\C=C\[C@H](O)[C@H]1CCC(=O)O1	C14H22O4		254.151809184	Butanolide A	MCOVUDBVHLCDBW	Fatty acids	Fatty esters	Lactones	http://www.wikidata.org/entity/Q843136	Penicillium	199764.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Penicillium']	['Unknown']											0	3	2.677922010421753	1
1329	3716	237	Terpenoids	0.8333333333333334	Sesquiterpenoids	0.6666666666666666	Bisabolane sesquiterpenoids	0.3333333333333333	1.0	0.56114894	ISDB									CTYWXRDQWMRIIM							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.244595766067505	1
1330	3714	339	Shikimates and Phenylpropanoids	1.0	Phenylpropanoids (C6-C3)	1.0	Cinnamic acids and derivatives	1.0	25.0	0.23234078	ISDB	http://www.wikidata.org/entity/Q414116	QAIPRVGONGVQAS-DUXPYHPUSA-N	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+	O=C(O)/C=C/c1ccc(O)c(O)c1	C9H8O4		180.04225873599998	Caffeic Acid	QAIPRVGONGVQAS	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	http://www.wikidata.org/entity/Q238591	Murraya paniculata	81668.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Murraya']	['Murraya paniculata']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']					5	3	7.429363250732422	1
1343	3703	150	Fatty acids	1.0	Fatty esters	1.0	Wax monoesters	1.0	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q418672	AOGQPLXWSUTHQB-UHFFFAOYSA-N	InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3	CCCCCCOC(C)=O	C8H16O2	pos_2MCH3CNNa	144.115029752	Hexyl acetate	AOGQPLXWSUTHQB	Fatty acids	Fatty esters	Wax monoesters	http://www.wikidata.org/entity/Q794969	Spondias mombin	317612.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Spondias']	['Spondias mombin']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']		['Spondias']		7	3	8.5	1
1344	3703	150	Fatty acids	1.0	Fatty esters	1.0	Wax monoesters	1.0	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q905406	SHZIWNPUGXLXDT-UHFFFAOYSA-N	InChI=1S/C8H16O2/c1-3-5-6-7-8(9)10-4-2/h3-7H2,1-2H3	CCCCCC(=O)OCC	C8H16O2	pos_2MCH3CNNa	144.115029752	Ethyl hexanoate	SHZIWNPUGXLXDT	Fatty acids	Fatty esters	Wax monoesters	http://www.wikidata.org/entity/Q794969	Spondias mombin	317612.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Spondias']	['Spondias mombin']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']		['Spondias']		7	3	8.5	1
1345	3703	150	Fatty acids	1.0	Fatty esters	1.0	Wax monoesters	1.0	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q2212471	XUPYJHCZDLZNFP-UHFFFAOYSA-N	InChI=1S/C8H16O2/c1-3-5-7-10-8(9)6-4-2/h3-7H2,1-2H3	CCCCOC(=O)CCC	C8H16O2	pos_2MCH3CNNa	144.115029752	Butyl butyrate	XUPYJHCZDLZNFP	Fatty acids	Fatty esters	Wax monoesters	http://www.wikidata.org/entity/Q794969	Spondias mombin	317612.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Spondias']	['Spondias mombin']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']		['Spondias']		7	3	8.5	1
1346	3697	18	Shikimates and Phenylpropanoids	0.7692307692307693	Flavonoids	0.7384615384615385	Proanthocyanins	0.5846153846153846	3.0	0.30265272	ISDB	http://www.wikidata.org/entity/Q105267080	TXWUPICCAPJKLS-KFAWGBOVSA-N	InChI=1S/C45H38O16/c46-20-7-1-17(2-8-20)40-35(54)29(23-13-14-28(49)34(53)43(23)59-40)24-15-26-30(36(55)41(18-3-9-21(47)10-4-18)60-44(26)38(57)31(24)50)25-16-27-33(52)37(56)42(19-5-11-22(48)12-6-19)61-45(27)39(58)32(25)51/h1-16,29-30,33,35-37,40-42,46-58H/t29-,30-,33-,35+,36+,37-,40-,41-,42-/m1/s1	Oc1ccc([C@H]2Oc3c(cc([C@@H]4c5cc([C@H]6c7ccc(O)c(O)c7O[C@H](c7ccc(O)cc7)[C@H]6O)c(O)c(O)c5O[C@H](c5ccc(O)cc5)[C@H]4O)c(O)c3O)[C@@H](O)[C@H]2O)cc1	C45H38O16		834.2159851360001	Oritin-(4beta-6)-oritin-(4alpha-6)-epioritin-4alpha-ol	TXWUPICCAPJKLS	Shikimates and Phenylpropanoids	Flavonoids	Flavandiols (Leucoanthocyanidins)	http://www.wikidata.org/entity/Q50870334	Senegalia galpinii	652710.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Acacieae']	['Senegalia']	['Senegalia galpinii']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	2	6.210610866546631	1
1347	3691	585	Terpenoids	0.6	Sesquiterpenoids	0.6	Cadinane sesquiterpenoids	0.6	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q115948080	GZJRNUOOIWJBBM-UHFFFAOYSA-N	InChI=1S/C13H16O2/c1-8-5-4-6-11-9(2)7-12(13(8)11)15-10(3)14/h4-6,9,12H,7H2,1-3H3	CC(=O)OC1CC(C)c2cccc(C)c21	C13H16O2	pos_1_minus1proton1iron	204.115029752		GZJRNUOOIWJBBM	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	http://www.wikidata.org/entity/Q3919027	Mangifera indica	807634.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Mangifera']	['Mangifera indica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']				6	3	7.5	1
