CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1357	3579	18	0.8062	-288.063
1169	1434	18	0.7564	-15.995
116	1718	18	0.8957	-15.995
739	2614	18	0.7883	-15.995
1799	3579	18	0.8581	-272.068
2658	3786	18	0.8374	-15.995
522	912	18	0.8703	15.994
1602	2320	18	0.7737	-15.995
2784	3234	18	0.872	-272.068
116	1924	18	0.7566	-15.995
285	2785	18	0.7562	152.011
739	2735	18	0.8205	-33.021
1087	1924	18	0.768	17.028
2182	3579	18	0.8062	-288.063
2242	3642	18	0.8885	0.000
912	3642	18	0.8443	17.028
1718	2540	18	0.7527	-17.029
2784	3697	18	0.8406	-272.068
83	1295	18	0.8187	15.994
739	3766	18	0.7901	-15.995
681	3183	18	0.8449	0.000
522	2901	18	0.7868	-28.031
867	3234	18	0.8246	-272.069
2256	2320	18	0.8886	0.000
1087	1292	18	0.8268	-28.030
2320	4135	18	0.7695	-15.996
1602	2242	18	0.7749	0.000
3183	4080	18	0.7612	15.995
912	1292	18	0.7907	-28.030
3401	3532	18	0.7933	15.996
3339	3786	18	0.847	0.000
285	563	18	0.8604	-15.995
2735	3786	18	0.7661	-15.995
867	2320	18	0.8444	15.994
563	2375	18	0.8395	-15.995
83	1333	18	0.8031	15.994
2242	2297	18	0.847	-15.995
2297	3642	18	0.8997	15.996
867	2182	18	0.8231	15.994
522	3339	18	0.751	-256.073
522	1193	18	0.7868	-28.031
285	1169	18	0.8364	0.000
118	681	18	0.8673	-15.995
1193	2901	18	1.0	0.000
3056	3472	18	0.7475	-15.995
2182	2784	18	0.9226	-15.995
1357	3234	18	0.8179	-288.063
1924	2256	18	0.8154	-15.995
681	701	18	0.7528	-152.048
1357	1799	18	0.8979	-15.995
1292	1924	18	0.7854	45.057
2182	3688	18	0.9546	-15.995
1434	4409	18	0.7788	152.011
1295	2959	18	0.7861	-15.995
541	1602	18	0.7747	-15.995
681	4080	18	0.8654	15.995
2784	3579	18	0.8581	-272.068
116	1602	18	0.839	-15.995
1295	3058	18	0.9262	0.000
3234	3401	18	0.8647	-0.000
83	4409	18	0.8372	0.000
2735	3766	18	0.8227	17.026
522	1087	18	0.7703	15.994
83	2375	18	0.7938	-168.006
1357	3697	18	0.8076	-288.063
522	4135	18	0.7472	1.031
867	1357	18	0.8231	15.994
285	3472	18	0.7763	-136.052
541	1718	18	0.8669	-15.995
1799	2784	18	0.9138	-0.001
2614	2735	18	0.8283	-17.027
116	1243	18	0.7596	-0.000
3579	3688	18	0.8532	272.068
83	2763	18	0.7665	-15.995
285	1434	18	0.8642	-15.995
3234	3697	18	0.886	-0.000
563	1295	18	0.8377	168.006
1602	2297	18	0.8095	-15.995
2182	3401	18	0.7876	-288.063
701	2297	18	0.8831	15.995
1434	2375	18	0.848	-15.995
3644	3697	18	0.8192	307.104
3579	3644	18	0.7998	-307.105
3401	3579	18	0.8773	0.000
681	4135	18	0.752	-152.048
522	701	18	0.7437	1.032
1333	3058	18	0.9299	0.000
541	1594	18	0.8597	0.000
867	1799	18	0.8639	-0.001
563	3058	18	0.8433	168.006
2785	4202	18	0.743	0.000
1357	2182	18	1.0	0.000
1799	3401	18	0.8767	-272.069
563	1169	18	0.8288	15.995
2242	4080	18	0.7849	136.052
285	4202	18	0.7503	152.011
541	2905	18	0.8929	0.000
1243	1718	18	0.7479	-15.995
2297	4135	18	0.8842	-15.995
522	2297	18	0.8825	17.027
1799	3697	18	0.8496	-272.069
2182	2320	18	0.7816	0.001
116	3642	18	0.7798	-15.995
1169	1295	18	0.7755	152.010
431	3339	18	0.7722	-33.021
431	2658	18	0.8036	-17.027
285	1333	18	0.8912	152.011
1292	3642	18	0.792	45.058
563	1333	18	0.8342	168.006
1357	3401	18	0.7876	-288.063
1357	3688	18	0.9546	-15.995
1333	3472	18	0.7998	-288.062
1357	2320	18	0.7816	0.001
83	1434	18	0.7836	-152.011
867	3401	18	0.8575	-272.069
2959	3058	18	0.78	15.995
2182	3234	18	0.8179	-288.063
867	3688	18	0.8382	-0.001
2242	2256	18	0.8571	-15.995
1295	1333	18	0.9449	0.000
2242	2320	18	0.8012	-15.995
1924	3642	18	0.9684	0.001
3234	3644	18	0.8461	-307.105
1357	2784	18	0.9226	-15.995
2320	3642	18	0.773	15.995
701	2084	18	0.8884	-17.027
1106	3056	18	0.7454	0.001
118	2242	18	0.7938	-136.052
912	2242	18	0.8069	17.028
867	2256	18	0.8281	15.994
2735	3339	18	0.7466	-15.995
1193	1292	18	0.8461	15.995
2375	4409	18	0.7556	168.006
2784	3401	18	0.8624	-272.068
912	1924	18	0.8533	17.028
912	1087	18	0.8216	-0.000
2375	2763	18	0.7529	152.011
541	1924	18	0.7578	-15.995
1295	3472	18	0.8045	-288.062
1333	3688	18	0.7966	15.995
3058	3472	18	0.8117	-288.062
4135	4202	18	0.7516	-15.994
563	3472	18	0.7946	-120.057
3234	3688	18	0.8769	272.068
1799	3688	18	0.9068	-0.000
1799	3234	18	0.8716	-272.068
541	1243	18	0.7611	0.000
701	4135	18	0.9522	-0.001
867	3697	18	0.8295	-272.069
2256	4135	18	0.8285	-15.995
118	4080	18	0.8932	-0.000
2256	3642	18	0.8265	15.996
1087	3642	18	0.7728	17.028
3688	3697	18	0.8547	-272.068
2182	3697	18	0.8076	-288.063
1602	2256	18	0.8339	-15.995
3234	3579	18	0.9159	0.000
1292	2901	18	0.8461	-15.995
285	1295	18	0.8815	152.011
83	3058	18	0.8188	15.994
1924	2297	18	0.889	-15.995
1333	2784	18	0.814	15.995
2256	2297	18	0.8717	-0.000
1602	1718	18	0.8843	0.000
3401	3688	18	0.8555	272.068
1602	2596	18	0.7583	-1.033
1924	2242	18	0.8855	0.000
1169	2785	18	0.7936	152.011
3401	3697	18	0.8792	0.000
1718	2905	18	0.8148	15.995
701	2256	18	0.8321	15.995
