CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1315	2673	10	0.9305	-14.016
3396	3566	10	0.797	-88.053
2731	3784	10	0.8688	132.079
1671	3584	10	0.8431	45.058
556	2683	10	0.9127	182.204
2384	3743	10	0.8191	-89.085
2123	2384	10	0.8418	132.078
1651	3566	10	0.7904	132.079
127	1020	10	0.8	-44.026
1959	2537	10	0.7415	132.079
2558	2717	10	0.906	44.026
1509	2717	10	0.7742	45.058
169	4876	10	0.9152	168.188
2708	4069	10	0.8575	140.157
1629	4641	10	0.885	88.052
2708	2731	10	0.8582	-176.105
211	336	10	0.775	-132.079
1315	3784	10	0.8752	44.026
492	1004	10	0.7405	-88.053
3163	3396	10	0.8518	-28.031
1020	2236	10	0.7981	-28.031
1671	4827	10	0.8763	14.016
2384	4549	10	0.8876	-44.026
1725	4776	10	0.8989	-44.027
4641	4876	10	0.9041	182.204
1396	3922	10	0.8934	-44.026
2708	3784	10	0.9398	-44.026
2705	4091	10	0.8561	-88.052
1396	2582	10	0.8746	-220.131
1396	4862	10	0.9019	-182.204
4101	4104	10	0.9447	-88.053
1105	3718	10	0.8676	132.079
2582	4876	10	0.8737	132.079
3566	3718	10	0.8838	-44.026
2236	2717	10	0.7896	433.377
2582	3951	10	0.9519	88.053
227	4827	10	0.8982	-17.027
1651	2910	10	0.8225	44.026
2673	3712	10	0.8612	182.204
3743	4515	10	0.7934	-88.051
784	3163	10	0.728	-17.026
1629	4862	10	0.8335	176.105
3953	4104	10	0.8978	132.078
2683	3951	10	0.9755	-0.000
2910	3566	10	0.8197	88.053
818	2064	10	0.7578	-144.116
2582	4104	10	0.9595	44.026
492	3986	10	0.7339	56.063
1623	1645	10	0.7678	-100.090
1509	4862	10	0.9277	-154.173
2217	2384	10	0.8648	-132.079
1651	2236	10	0.8047	-88.053
2384	2705	10	0.8723	176.105
26	1645	10	0.7477	176.104
643	784	10	0.7329	-44.026
211	904	10	0.7921	-176.105
169	3163	10	0.8344	176.106
2673	4862	10	0.9236	44.026
851	2865	10	0.7338	88.053
1396	3951	10	0.9076	-132.079
3711	4839	10	0.7815	88.053
2064	4776	10	0.8316	56.063
227	2708	10	0.9108	-3.011
1315	2731	10	0.8777	-88.053
1623	4776	10	0.871	44.026
556	4827	10	0.8126	176.105
653	2064	10	0.8438	-28.032
1671	3718	10	0.8761	-88.053
127	169	10	0.8508	88.052
1020	2731	10	0.8244	88.052
2123	3743	10	0.8254	42.993
2910	4876	10	0.858	196.219
1105	2236	10	0.7944	-44.026
2217	3953	10	0.8972	88.052
1142	1629	10	0.8535	44.026
784	3986	10	0.7005	11.005
556	1629	10	0.9023	-44.026
1315	1409	10	0.8332	140.157
169	2910	10	0.8688	-28.031
3584	3921	10	0.8079	123.130
1725	2064	10	0.7663	-100.090
1509	4069	10	0.83	44.026
653	1725	10	0.8177	72.058
2582	2942	10	0.954	-44.026
2217	2558	10	0.8399	369.236
2566	4641	10	0.8392	-176.105
1105	1629	10	0.8521	14.016
2582	3922	10	0.8653	176.105
1509	3784	10	0.9002	-140.157
1396	1509	10	0.8799	-28.031
127	2731	10	0.8745	44.026
1725	3111	10	0.8591	88.053
818	1725	10	0.8819	-44.026
3951	4104	10	0.965	-44.027
